	故事標題		類型	物件自動創建	MOS狀況	漂浮	審核狀況	最終批準	製作人	導播備註	編輯備註	記者備註	委任記者	作者	地點	版權	到稿狀態
	中國時報a													USER03			
	鼓吹戰罰百萬		掃半版						中時頭版			貞		蘇 貞蓉			
	川對台軍售		標圖						中時A1	另丟圖表				蘇 貞蓉			
	吳豊山請辭		標圖						中時A1			貞		蘇 貞蓉			
	法政獨裁		標						中時A2	社論		貞		蘇 貞蓉			
	美官洩軍購		標圖						中時A2			貞		蘇 貞蓉			
	美軍售無新意		標						中時A2	新聞透視		貞		蘇 貞蓉			
	鼓吹戰爭寒蟬		標圖						中時A3	另丟圖		貞		蘇 貞蓉			
	軍降敵關10年		圖						中時A3	丟圖		貞		蘇 貞蓉			
	逼賴面對民意		標						中時A4	新聞透視		貞		蘇 貞蓉			
	賴喊話朝野		標						中時A4	鏡面				鄭 宛凌			
	房管不鬆綁		標圖						中時A6			貞		蘇 貞蓉			
	京案326宣判		標圖						中時A7	鏡面				鄭 宛凌			
	徐欣瑩參選		標圖						中時A10	另丟圖		貞		孫 怡琳			
	川救民調		標						中時AA2	鏡面				鄭 宛凌			
	中天新聞網													梁 麗雙			
	美智庫示警		標圖						中天新聞網			貞		蘇 貞蓉			
	中時新聞網o													梁 麗雙			
	無人機買家		圖						中時新聞網	丟圖		貞		蘇 貞蓉			
	仿效刑典法		圖						中時新聞網	丟圖		貞		蘇 貞蓉			
	洩密陸15年		圖						中時新聞網	丟圖		C		孫 怡琳			
	兩岸鬧僵		圖						中時新聞網	丟圖		C		鄭 宛凌			
	利率連七凍		圖						中時新聞網	丟圖		貞		蘇 貞蓉			
	美交易台		圖						中時新聞網	丟圖		C		鄭 宛凌			
	聯合報l													USER03			
	藍白彈劾賴		掃半版						聯合頭ˊ版			貞		蘇 貞蓉			
	海南啟動台滋味		標						聯合A2	黑白集		貞		蘇 貞蓉			
	吳被請辭		標圖						聯合A3			貞		蘇 貞蓉			
	賴約見吳		標圖						聯合A3			貞		孫 怡琳			
	不公布帝制		標圖						聯合A4			貞		蘇 貞蓉			
	勞保撥補		標圖						聯合A6			貞		蘇 貞蓉			
	川誇經濟		標圖						聯合A10	鏡面				鄭 宛凌			
	高拚連任		標圖						聯合B1	鏡面				鄭 宛凌			
	聯合新聞網c													USER03			
	警涉收賄		圖						聯合新聞網	丟圖		C		鄭 宛凌			
	ET新聞雲e													梁 麗雙			
	ET													邱 百祥			
	蘋果日報													USER03			
	蘋		掃半版						蘋果頭版					邱 百祥			
	旺報k													USER03			
	海南自貿港啟動		掃半版						旺報頭版			貞		蘇 貞蓉			
	工商時報													USER03			
	工		掃半版						工商頭版			免寫		邱 百祥			
	經濟日報													USER03			
	經		掃半版						經濟頭版			免寫		邱 百祥			
	周刊王													USER03			
	鏡週刊													梁 麗雙			
	時報週刊													USER03			
		ENDRO															
